Date,R[mm]
2015-08-20,0.1
2015-08-21,11.55
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,9.3
2015-08-25,5.4
2015-08-26,30.05
2015-08-27,6.35
2015-08-28,0.05
2015-08-29,0.05
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,11.4
2015-09-02,2.55
2015-09-03,44.45
2015-09-04,0.05
2015-09-05,31.549999999999997
2015-09-06,39.900000000000006
2015-09-07,0.1
2015-09-08,13.25
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.3
2015-09-12,0.1
2015-09-13,9.7
2015-09-14,16.5
2015-09-15,0.1
2015-09-16,24.15
2015-09-17,7.9
2015-09-18,63.4
2015-09-19,0.3
2015-09-20,56.45
2015-09-21,1.4
2015-09-22,0.1
2015-09-23,0.0
2015-09-24,5.45
2015-09-25,23.9
2015-09-26,0.1
2015-09-27,0.0
2015-09-28,9.3
2015-09-29,0.0
2015-09-30,12.9
2015-10-01,0.15000000000000002
2015-10-02,0.0
2015-10-03,18.85
2015-10-04,1.0
2015-10-05,0.0
2015-10-06,0.05
2015-10-07,1.2999999999999998
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,9.35
2015-10-11,2.4
2015-10-12,0.05
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,3.6500000000000004
2015-10-17,0.15000000000000002
2015-10-18,2.4
2015-10-19,0.05
2015-10-20,10.7
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,4.1
2015-10-27,3.05
2015-10-28,2.45
2015-10-29,0.3
2015-10-30,0.0
2015-10-31,0.0
2015-11-01,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.15000000000000002
2015-11-19,0.0
2015-11-20,0.0
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,0.0
2015-12-05,0.0
